GO	[-32.96 -1.59]	[-1.59 -0.96]	[-0.96 -0.55]	[-0.55 -0.26]	[-0.26 0.01]	[0.01 0.22]	[0.22 0.52]	[0.52 0.90]	[0.90 1.58]	[1.58 15.04]	[15.04 18.15]
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	-4.041	-2.994	-2.994	-2.251	1.108	6.030	10.170	1.718	-0.907	-4.041	-1.597
GO_POSITIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY GO_POSITIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY	-1.132	-1.132	1.036	0.344	1.036	-1.132	2.715	-0.262	-0.262	-1.132	-0.246
GO_REGULATION_OF_STEM_CELL_DIFFERENTIATION GO_REGULATION_OF_STEM_CELL_DIFFERENTIATION	2.210	1.666	0.796	-1.344	-0.367	-0.367	-0.711	-0.711	-1.344	0.796	-0.680
GO_KINETOCHORE GO_KINETOCHORE	1.444	0.606	1.444	-1.174	1.444	-1.174	-0.282	-0.587	-0.587	-0.282	-1.136
GO_REGULATION_OF_MUSCLE_ORGAN_DEVELOPMENT GO_REGULATION_OF_MUSCLE_ORGAN_DEVELOPMENT	-0.500	0.165	0.165	1.737	-0.500	0.165	-0.500	-0.500	2.563	-0.500	-0.484
GO_REGULATION_OF_LIPID_TRANSPORT GO_REGULATION_OF_LIPID_TRANSPORT	-0.417	1.258	-0.417	0.210	2.995	0.210	-0.417	-0.417	-0.417	-0.417	-0.403
GO_UBIQUITIN_DEPENDENT_ERAD_PATHWAY GO_UBIQUITIN_DEPENDENT_ERAD_PATHWAY	-0.458	-0.458	-0.458	0.186	-0.458	-0.458	2.764	-0.458	0.186	0.186	1.182
GO_PRERIBOSOME_LARGE_SUBUNIT_PRECURSOR GO_PRERIBOSOME_LARGE_SUBUNIT_PRECURSOR	2.730	-0.291	-0.291	-0.291	-0.291	0.311	-0.291	-0.291	-0.291	-0.291	0.916
