GO	[-24.60 -0.84]	[-0.84 -0.54]	[-0.54 -0.35]	[-0.35 -0.20]	[-0.20 -0.06]	[-0.06 0.07]	[0.07 0.20]	[0.20 0.32]	[0.32 0.50]	[0.50 0.76]	[0.76 3.73]
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	-3.807	-3.807	-2.067	-2.067	-1.526	1.931	2.730	5.877	3.178	0.242	-2.733
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	1.619	1.619	1.190	0.528	-1.681	0.300	0.528	-0.302	-1.681	-1.681	-1.655
CHICAS_RB1_TARGETS_LOW_SERUM CHICAS_RB1_TARGETS_LOW_SERUM	-1.459	-1.459	-1.459	-1.459	-0.587	0.256	0.434	0.434	2.130	3.152	0.451
BILD_CTNNB1_ONCOGENIC_SIGNATURE BILD_CTNNB1_ONCOGENIC_SIGNATURE	-0.583	-0.583	-0.200	6.346	-0.583	-0.200	-0.200	-0.200	-0.200	-0.583	-0.574
SHIPP_DLBCL_VS_FOLLICULAR_LYMPHOMA_UP SHIPP_DLBCL_VS_FOLLICULAR_LYMPHOMA_UP	-1.003	3.878	1.762	-0.205	-0.466	-0.466	-0.205	-0.205	-1.003	-1.003	-0.455
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN	2.577	2.577	0.355	0.355	-0.253	-0.253	-2.013	-0.957	-0.957	-0.253	-1.364
REACTOME_RHO_GTPASES_ACTIVATE_PKNS REACTOME_RHO_GTPASES_ACTIVATE_PKNS	0.609	-0.793	-0.793	2.292	0.609	-0.793	-0.326	-0.793	-0.326	1.625	-0.780
NOUZOVA_TRETINOIN_AND_H4_ACETYLATION NOUZOVA_TRETINOIN_AND_H4_ACETYLATION	0.876	-0.919	0.215	0.490	-0.408	0.215	2.627	0.490	-0.919	-0.919	-0.905
WHITFIELD_CELL_CYCLE_S WHITFIELD_CELL_CYCLE_S	-0.353	-0.835	-0.353	0.995	-0.835	0.566	-0.835	-0.353	-0.835	1.532	1.557
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	-0.248	-0.248	1.953	1.298	-0.667	0.361	-0.667	-0.667	-0.667	-0.667	0.777
NATSUME_RESPONSE_TO_INTERFERON_BETA_UP NATSUME_RESPONSE_TO_INTERFERON_BETA_UP	0.312	3.977	-0.291	-0.291	0.312	-0.291	-0.291	-0.291	-0.291	-0.291	-0.286
