GO	[-2.44 -0.43]	[-0.43 -0.30]	[-0.30 -0.19]	[-0.19 -0.10]	[-0.10 -0.03]	[-0.03 0.04]	[0.04 0.10]	[0.10 0.17]	[0.17 0.25]	[0.25 0.35]	[0.35 1.12]
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	-3.807	-3.807	-3.807	0.748	0.748	0.242	1.583	1.931	3.178	0.242	-1.078
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	8.156	2.747	-0.285	-0.938	-0.938	-0.938	-0.531	-0.285	-1.638	-1.638	-0.918
WHITFIELD_CELL_CYCLE_G2_M WHITFIELD_CELL_CYCLE_G2_M	3.063	1.501	1.965	-0.607	-1.766	-1.766	-0.607	0.476	-1.766	-0.607	-0.327
TAKAO_RESPONSE_TO_UVB_RADIATION_DN TAKAO_RESPONSE_TO_UVB_RADIATION_DN	5.149	-0.408	0.490	-0.408	-0.408	-0.408	-0.919	0.490	-0.408	-0.408	-0.905
REACTOME_REGULATION_OF_TP53_ACTIVITY REACTOME_REGULATION_OF_TP53_ACTIVITY	0.198	1.292	0.456	-0.961	-0.961	2.503	0.198	-0.437	-0.961	-0.961	0.467
RAHMAN_TP53_TARGETS_PHOSPHORYLATED RAHMAN_TP53_TARGETS_PHOSPHORYLATED	2.892	-0.625	0.825	-0.625	-0.224	0.825	-0.625	-0.625	-0.224	-0.625	-0.218
BROWN_MYELOID_CELL_DEVELOPMENT_UP BROWN_MYELOID_CELL_DEVELOPMENT_UP	0.165	-0.499	-0.499	-0.499	-0.499	-0.499	0.165	2.565	-0.499	1.054	0.533
STONER_ESOPHAGEAL_CARCINOGENESIS_UP STONER_ESOPHAGEAL_CARCINOGENESIS_UP	1.054	-0.499	2.565	-0.499	0.523	-0.499	-0.499	-0.499	0.165	-0.499	0.169
