GO	[-32.96 -1.62]	[-1.62 -0.96]	[-0.96 -0.55]	[-0.55 -0.26]	[-0.26 0.01]	[0.01 0.22]	[0.22 0.53]	[0.53 0.90]	[0.90 1.63]	[1.63 15.12]	[15.12 18.15]
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	-2.785	-3.807	-2.067	-1.526	0.990	8.550	6.504	1.931	-0.793	-3.807	-3.749
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	2.409	0.590	3.460	-1.568	-0.656	-0.404	-1.026	-0.656	-1.026	0.378	-0.637
REACTOME_TP53_REGULATES_METABOLIC_GENES REACTOME_TP53_REGULATES_METABOLIC_GENES	-1.511	-0.839	-1.511	0.379	1.407	-0.235	-0.235	-0.235	3.042	-0.458	-0.227
MULLIGHAN_NPM1_MUTATED_SIGNATURE_2_DN MULLIGHAN_NPM1_MUTATED_SIGNATURE_2_DN	-0.299	-0.299	-0.751	-0.299	0.655	-0.751	-0.751	1.725	-0.299	-0.751	2.456
WESTON_VEGFA_TARGETS_3HR WESTON_VEGFA_TARGETS_3HR	2.732	-0.291	1.707	-0.291	-0.291	-0.291	-0.291	-0.291	-0.291	-0.291	-0.286
HOLLERN_EMT_BREAST_TUMOR_UP HOLLERN_EMT_BREAST_TUMOR_UP	0.312	2.732	-0.291	-0.291	-0.291	-0.291	-0.291	-0.291	-0.291	-0.291	0.905
CHIARETTI_ACUTE_LYMPHOBLASTIC_LEUKEMIA_ZAP70 CHIARETTI_ACUTE_LYMPHOBLASTIC_LEUKEMIA_ZAP70	-0.166	-0.166	-0.166	-0.166	-0.166	-0.166	-0.166	-0.166	-0.166	-0.166	4.207
BIOCARTA_INTEGRIN_PATHWAY BIOCARTA_INTEGRIN_PATHWAY	-0.249	-0.249	-0.249	-0.249	-0.249	-0.249	-0.249	-0.249	0.360	0.360	3.093
