Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR11549016,2020-04-24 16:53:17,2020-04-15 12:21:52,9507082,2871138764,9507082,302,1129,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11549016/SRR11549016.1,SRX8119041,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483716,SAMN14601049,simple,9606,Homo sapiens,GSM4477417,,,,,,,no,,,,,GEO,SRA878947,,public,BE3DB89FAFF472D24FA26343CF03F821,733051D8B27DCD422FC925D34107BFDA
SRR11549017,2020-04-24 16:53:17,2020-04-15 12:26:31,13568589,4097713878,13568589,302,1655,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR11549017/SRR11549017.1,SRX8119042,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483715,SAMN14601048,simple,32630,synthetic construct,GSM4477418,,,,,,,no,,,,,GEO,SRA878947,,public,B3859127D65855DF0EFF86B3F80E0C73,C32221162D6200C6D3F912A70EDCB05C
SRR11549018,2020-04-24 16:53:17,2020-04-15 12:20:03,7388681,2231381662,7388681,302,875,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11549018/SRR11549018.1,SRX8119043,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483718,SAMN14601047,simple,9606,Homo sapiens,GSM4477419,,,,,,,no,,,,,GEO,SRA878947,,public,F16D26ACF48C10868CD84A3307509B63,98230D349DEC3D54F6D050890BD4CCCE
SRR11549019,2020-04-24 16:53:17,2020-04-15 12:23:45,13334806,4027111412,13334806,302,1624,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11549019/SRR11549019.1,SRX8119044,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483717,SAMN14601046,simple,32630,synthetic construct,GSM4477420,,,,,,,no,,,,,GEO,SRA878947,,public,DB0C50B43992D6B9D0BAE4686C2C7135,F47283B1C886F2AA42452F51256D98E5
SRR11549020,2020-04-24 16:53:17,2020-04-15 12:48:21,40008561,12082585422,40008561,302,4699,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR11549020/SRR11549020.1,SRX8119045,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483720,SAMN14601045,simple,9606,Homo sapiens,GSM4477421,,,,,,,no,,,,,GEO,SRA878947,,public,213D658A2AB977B4C818CCF55AC1876F,CC9A5FD09909E14A73AFC7A5DB0A1256
SRR11549021,2020-04-24 16:53:17,2020-04-15 12:24:01,13289873,4013541646,13289873,302,1618,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11549021/SRR11549021.1,SRX8119046,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483719,SAMN14601044,simple,32630,synthetic construct,GSM4477422,,,,,,,no,,,,,GEO,SRA878947,,public,256A4C961636991528430E6AE98D2F87,7EBB41745ADED484747065C7A9C85C56
SRR11549022,2020-04-24 16:53:17,2020-04-15 12:22:14,5918931,1787517162,5918931,302,701,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11549022/SRR11549022.1,SRX8119047,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483721,SAMN14601043,simple,9606,Homo sapiens,GSM4477423,,,,,,,no,,,,,GEO,SRA878947,,public,D0C3EEF4032892E89367682644023E0F,1DB89791094BA7D1071B9DADC1E7ABDC
SRR11549023,2020-04-24 16:53:17,2020-04-15 12:26:30,14473473,4370988846,14473473,302,1771,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11549023/SRR11549023.1,SRX8119048,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483722,SAMN14601042,simple,32630,synthetic construct,GSM4477424,,,,,,,no,,,,,GEO,SRA878947,,public,F18EFD114C011A1CFD40E4BF23EDF048,B2E4BC1FF4E151C40457B3B4728D0F11
SRR11549024,2020-04-24 16:53:17,2020-04-15 12:21:08,6798725,2053214950,6798725,302,804,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11549024/SRR11549024.1,SRX8119049,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483723,SAMN14601041,simple,9606,Homo sapiens,GSM4477425,,,,,,,no,,,,,GEO,SRA878947,,public,77D94536442D858F661DEA8216BB43F7,9E8F1BD3520A0052411F81F9C4FA3CA7
SRR11549025,2020-04-24 16:53:17,2020-04-15 12:31:26,20034174,6050320548,20034174,302,2375,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR11549025/SRR11549025.1,SRX8119050,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483724,SAMN14601040,simple,32630,synthetic construct,GSM4477426,,,,,,,no,,,,,GEO,SRA878947,,public,A280A6934583EDE5B5A78D4944469030,43E13654AD77A6AC97C3AF0D2D89017D
SRR11549026,2020-04-24 16:53:17,2020-04-15 13:01:02,53236367,16077382834,53236367,302,6171,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11549026/SRR11549026.1,SRX8119051,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483725,SAMN14601039,simple,9606,Homo sapiens,GSM4477427,,,,,,,no,,,,,GEO,SRA878947,,public,DC7D4D0EE054A870F563B81EDEA67497,9BB5DC52405DA7021609EE3D3BA25C1A
SRR11549027,2020-04-24 16:53:17,2020-04-15 12:27:23,19820160,5985688320,19820160,302,2319,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR11549027/SRR11549027.1,SRX8119052,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193719,PRJNA534019,3,534019,SRS6483726,SAMN14601038,simple,32630,synthetic construct,GSM4477428,,,,,,,no,,,,,GEO,SRA878947,,public,49816340623B7D9417DD1F74EB08D2FB,7698CD197CA8DD0EBB4220CBC8447618

