GO	[-2.04 -0.78]	[-0.78 -0.51]	[-0.51 -0.32]	[-0.32 -0.18]	[-0.18 -0.05]	[-0.05 0.08]	[0.08 0.20]	[0.20 0.33]	[0.33 0.45]	[0.45 0.66]	[0.66 2.15]
PPARGC1A_TARGET_GENES PPARGC1A_TARGET_GENES	1.085	0.212	1.527	1.527	0.716	-0.776	-0.412	0.212	-1.429	-1.429	-1.374
TGTGTGA_MIR377 TGTGTGA_MIR377	-0.354	-0.354	0.254	0.992	-0.836	-0.836	0.254	0.254	-0.836	-0.836	3.831
MAPK3_TARGET_GENES MAPK3_TARGET_GENES	0.643	-0.262	-1.132	-0.262	1.035	1.514	1.035	-1.132	0.344	-1.132	-1.089
ATACCTC_MIR202 ATACCTC_MIR202	-0.626	-0.626	-0.626	1.389	-0.626	-0.626	0.823	-0.225	-0.626	0.823	1.441
MIR3128 MIR3128	-0.500	-0.500	-0.500	1.052	-0.500	0.522	0.165	-0.500	-0.500	0.165	2.633
EVI1_02 EVI1_02	-0.333	-0.333	2.460	1.530	0.271	-0.333	-0.333	-0.333	-0.333	-0.333	-0.320
MIR3187_5P MIR3187_5P	0.238	-0.375	-0.375	0.710	-0.375	-0.375	-0.375	-0.375	0.238	3.261	-0.361
MIR4740_5P MIR4740_5P	0.238	-0.375	-0.375	1.383	-0.375	-0.375	-0.375	0.238	-0.375	-0.375	2.295
MIR573 MIR573	-0.250	-0.250	-0.250	-0.250	-0.250	-0.250	-0.250	1.918	-0.250	1.918	-0.240
MIR7108_5P MIR7108_5P	0.420	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	3.510	-0.200
MIR5007_3P MIR5007_3P	-0.250	-0.250	-0.250	-0.250	-0.250	-0.250	-0.250	0.359	3.065	-0.250	0.372
