GO	[-16.37 -1.33]	[-1.33 -0.86]	[-0.86 -0.51]	[-0.51 -0.25]	[-0.25 -0.01]	[-0.01 0.25]	[0.25 0.53]	[0.53 0.89]	[0.89 1.56]	[1.56 15.30]	[15.30 18.25]
GSE22886_NAIVE_TCELL_VS_DC_UP GSE22886_NAIVE_TCELL_VS_DC_UP	-0.968	-2.326	-0.611	0.920	0.640	0.920	4.244	1.252	-0.611	-2.326	-2.272
GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_UP GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_UP	-0.793	-0.793	-0.793	-0.793	-0.326	3.053	-0.326	-0.793	1.624	1.060	-0.315
GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_DN GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_DN	1.229	1.984	1.984	-0.333	-1.827	-1.827	-0.537	0.271	-1.827	-0.333	0.466
GSE3982_BASOPHIL_VS_TH2_DN GSE3982_BASOPHIL_VS_TH2_DN	0.752	1.499	-0.608	-0.608	-1.040	2.485	0.266	-1.768	0.266	-1.768	0.499
GSE25123_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_DN GSE25123_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_DN	0.508	-1.300	-0.679	-0.679	1.252	-1.300	0.839	1.740	0.839	-1.300	-0.329
GSE23321_EFFECTOR_MEMORY_VS_NAIVE_CD8_TCELL_DN GSE23321_EFFECTOR_MEMORY_VS_NAIVE_CD8_TCELL_DN	-0.303	0.299	-1.682	-0.556	0.527	-0.556	-1.682	0.299	1.189	3.259	-0.534
GSE25088_WT_VS_STAT6_KO_MACROPHAGE_UP GSE25088_WT_VS_STAT6_KO_MACROPHAGE_UP	-1.300	-1.300	0.839	0.262	0.262	1.740	1.740	-0.679	0.262	-1.300	-0.329
GSE22611_UNSTIM_VS_2H_MDP_STIM_NOD2_TRANSDUCED_HEK293T_CELL_UP GSE22611_UNSTIM_VS_2H_MDP_STIM_NOD2_TRANSDUCED_HEK293T_CELL_UP	0.932	-1.215	0.572	-1.215	-0.616	-0.616	0.300	-1.215	2.497	0.572	0.314
GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_UP GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_UP	0.706	-0.709	0.330	-0.709	-0.274	0.706	-0.709	3.399	-0.709	-0.709	-0.264
GSE9037_WT_VS_IRAK4_KO_LPS_4H_STIM_BMDM_DN GSE9037_WT_VS_IRAK4_KO_LPS_4H_STIM_BMDM_DN	-0.751	-0.751	2.422	0.655	-0.751	0.655	-0.300	1.133	-0.751	-0.751	-0.289
GSE17721_CTRL_VS_PAM3CSK4_24H_BMDC_DN GSE17721_CTRL_VS_PAM3CSK4_24H_BMDC_DN	-0.634	-0.634	-1.811	1.050	0.251	1.050	-0.634	-0.634	-1.074	2.405	0.750
