GO	[-2.98 -0.96]	[-0.96 -0.60]	[-0.60 -0.39]	[-0.39 -0.20]	[-0.20 -0.04]	[-0.04 0.09]	[0.09 0.22]	[0.22 0.39]	[0.39 0.57]	[0.57 0.83]	[0.83 1.83]
GO_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS GO_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS	10.149	1.239	-0.532	-0.940	-0.532	-0.286	-1.642	-0.286	-1.642	-0.532	-1.589
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	-3.730	-2.716	-0.344	0.579	0.402	1.046	2.417	2.417	0.402	-0.519	-2.609
GO_STEROL_METABOLIC_PROCESS GO_STEROL_METABOLIC_PROCESS	0.823	-0.626	-0.224	-0.626	-0.626	-0.626	-0.626	-0.626	2.890	-0.224	1.434
GO_NUCLEAR_PERIPHERY GO_NUCLEAR_PERIPHERY	0.280	1.312	0.884	1.312	0.280	0.538	0.280	-1.259	-1.259	-1.259	-1.218
GO_CYTOKINESIS GO_CYTOKINESIS	-0.496	4.549	0.727	0.395	-0.496	-0.224	-1.047	-1.047	-0.496	-0.224	-0.473
GO_REGULATION_OF_DNA_BINDING GO_REGULATION_OF_DNA_BINDING	0.525	-0.381	0.932	3.547	-0.381	-0.878	0.233	-0.381	-0.878	-0.878	-0.363
GO_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE GO_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE	-0.458	2.764	-0.458	-0.458	-0.458	-0.458	0.577	0.577	0.577	-0.458	-0.444
GO_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS GO_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS	2.047	-0.417	0.210	-0.417	2.047	-0.417	-0.417	0.210	-0.417	-0.417	-0.403
