GO	[-3.96 -0.70]	[-0.70 -0.46]	[-0.46 -0.29]	[-0.29 -0.16]	[-0.16 -0.03]	[-0.03 0.07]	[0.07 0.16]	[0.16 0.27]	[0.27 0.42]	[0.42 0.63]	[0.63 1.95]
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	-3.807	-3.807	-1.112	0.242	2.314	1.269	1.269	4.168	0.374	-0.550	-3.749
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	5.537	1.682	0.318	0.555	-0.285	-0.938	-0.938	-0.531	-1.638	-1.638	-0.918
ALONSO_METASTASIS_UP ALONSO_METASTASIS_UP	-0.289	2.157	0.735	1.732	-1.714	0.499	0.735	-1.714	-0.477	-0.753	-1.681
OUELLET_CULTURED_OVARIAN_CANCER_INVASIVE_VS_LMP_UP OUELLET_CULTURED_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	2.170	2.902	-0.353	-0.353	-0.353	0.566	-0.835	-0.835	-0.353	-0.835	-0.822
KONG_E2F3_TARGETS KONG_E2F3_TARGETS	2.079	1.038	0.645	1.038	-1.129	-0.261	-1.129	-1.129	0.345	-0.555	-1.112
REACTOME_L1CAM_INTERACTIONS REACTOME_L1CAM_INTERACTIONS	-0.877	2.759	-0.877	-0.380	-0.877	1.446	0.234	-0.877	0.234	0.234	0.240
DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER	0.395	2.084	-0.625	-0.625	-0.224	1.392	0.825	-0.625	-0.625	-0.625	-0.615
YAMAZAKI_TCEB3_TARGETS_UP YAMAZAKI_TCEB3_TARGETS_UP	0.255	-0.353	-0.353	-0.835	0.566	-0.835	-0.835	0.566	-0.835	0.566	2.940
BURTON_ADIPOGENESIS_4 BURTON_ADIPOGENESIS_4	0.165	-0.499	-0.499	3.525	1.054	-0.499	-0.499	0.165	-0.499	-0.499	0.169
BROWNE_HCMV_INFECTION_8HR_UP BROWNE_HCMV_INFECTION_8HR_UP	-0.583	0.433	3.081	-0.200	-0.583	0.893	-0.583	-0.583	-0.583	-0.200	-0.195
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	-0.332	-0.332	0.795	2.463	-0.332	0.795	-0.332	-0.332	-0.332	-0.332	-0.327
