GO	[-13.61 -0.47]	[-0.47 -0.31]	[-0.31 -0.20]	[-0.20 -0.12]	[-0.12 -0.04]	[-0.04 0.02]	[0.02 0.10]	[0.10 0.17]	[0.17 0.27]	[0.27 0.39]	[0.39 1.45]
GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_DN GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_DN	2.909	2.909	0.918	-0.333	0.655	-1.241	-0.829	-0.333	-1.241	-1.241	-2.652
GSE2124_CTRL_VS_LYMPHOTOXIN_BETA_TREATED_MLN_UP GSE2124_CTRL_VS_LYMPHOTOXIN_BETA_TREATED_MLN_UP	-1.640	-1.640	-0.939	0.555	-0.939	-0.285	0.863	0.863	4.760	-0.285	-0.909
GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_DN GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_DN	1.152	1.539	0.331	1.539	1.152	-0.273	-1.283	-2.068	-0.796	-1.283	-0.766
GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_DN GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_DN	0.251	2.968	0.719	-0.634	0.452	0.251	0.452	0.452	-1.811	-1.811	-1.041
GSE15330_GRANULOCYTE_MONOCYTE_PROGENITOR_VS_PRO_BCELL_UP GSE15330_GRANULOCYTE_MONOCYTE_PROGENITOR_VS_PRO_BCELL_UP	0.280	2.397	-1.257	0.280	-0.647	0.539	1.818	-1.257	-0.323	-0.323	-1.228
GSE37534_UNTREATED_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP GSE37534_UNTREATED_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP	-0.249	-0.667	-0.667	0.762	0.762	-0.667	0.762	-0.667	-0.667	2.720	-0.652
GSE23308_WT_VS_MINERALCORTICOID_REC_KO_MACROPHAGE_CORTICOSTERONE_TREATED_UP GSE23308_WT_VS_MINERALCORTICOID_REC_KO_MACROPHAGE_CORTICOSTERONE_TREATED_UP	-0.793	-0.326	-0.793	1.624	-0.793	1.624	-0.793	-0.793	-0.326	1.060	0.627
GSE26156_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP GSE26156_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP	-0.939	-0.939	0.317	-1.640	-0.939	-0.531	0.317	0.863	3.364	0.863	-0.271
GSE45365_WT_VS_IFNAR_KO_CD8A_DC_MCMV_INFECTION_UP GSE45365_WT_VS_IFNAR_KO_CD8A_DC_MCMV_INFECTION_UP	-0.344	1.740	1.252	0.839	-0.679	-1.300	-1.300	0.839	0.262	-0.344	-1.270
GSE22611_UNSTIM_VS_2H_MDP_STIM_NOD2_TRANSDUCED_HEK293T_CELL_UP GSE22611_UNSTIM_VS_2H_MDP_STIM_NOD2_TRANSDUCED_HEK293T_CELL_UP	3.165	0.572	0.572	-1.215	0.572	-1.215	-0.302	0.300	-1.215	-0.302	-0.596
GSE2706_2H_VS_8H_R848_STIM_DC_UP GSE2706_2H_VS_8H_R848_STIM_DC_UP	-0.542	-0.542	-0.542	0.475	-0.177	4.317	-0.177	-0.542	-0.542	0.475	-0.529
