GO	[-2.04 -0.79]	[-0.79 -0.51]	[-0.51 -0.33]	[-0.33 -0.18]	[-0.18 -0.06]	[-0.06 0.08]	[0.08 0.20]	[0.20 0.32]	[0.32 0.45]	[0.45 0.65]	[0.65 2.15]
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	-4.206	-4.206	-0.341	0.763	0.265	1.900	3.089	1.566	0.763	-0.995	-2.333
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	10.719	0.668	-1.459	-0.352	-0.938	0.256	0.256	-0.352	-1.459	-2.281	-0.914
KONG_E2F3_TARGETS KONG_E2F3_TARGETS	1.038	1.038	3.427	-0.261	-0.555	-0.555	-1.129	-1.129	0.645	-1.129	-1.112
JISON_SICKLE_CELL_DISEASE_UP JISON_SICKLE_CELL_DISEASE_UP	3.959	0.719	0.213	-0.774	0.213	-1.426	0.719	-1.426	-0.411	0.213	-0.757
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN	1.731	0.541	2.577	0.355	-2.013	1.049	-0.957	-0.639	-0.411	-1.397	-0.930
BROWN_MYELOID_CELL_DEVELOPMENT_DN BROWN_MYELOID_CELL_DEVELOPMENT_DN	1.407	-0.839	-0.458	-0.458	0.379	-0.839	-0.839	-1.511	3.707	-0.235	0.391
EPPERT_PROGENITOR EPPERT_PROGENITOR	-1.341	1.668	0.479	0.245	-0.366	0.479	-1.341	-0.710	1.195	-1.341	0.817
TAKAO_RESPONSE_TO_UVB_RADIATION_DN TAKAO_RESPONSE_TO_UVB_RADIATION_DN	4.228	-0.408	0.490	0.215	-0.919	0.215	-0.408	0.490	-0.919	-0.408	-0.905
DAZARD_RESPONSE_TO_UV_SCC_UP DAZARD_RESPONSE_TO_UV_SCC_UP	0.774	-0.205	0.774	0.425	-1.003	0.774	-0.466	-1.003	-1.003	-1.003	1.791
REACTOME_GLUCOSE_METABOLISM REACTOME_GLUCOSE_METABOLISM	4.051	-0.583	-0.583	-0.583	0.433	-0.200	-0.583	-0.583	0.433	-0.200	-0.195
FONTAINE_PAPILLARY_THYROID_CARCINOMA_UP FONTAINE_PAPILLARY_THYROID_CARCINOMA_UP	0.210	-0.416	2.049	1.260	-0.416	-0.416	-0.416	-0.416	-0.416	-0.416	0.650
HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_24HR HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_24HR	2.463	-0.332	0.795	-0.332	0.795	-0.332	-0.332	-0.332	-0.332	-0.332	-0.327
