GO	[-2.43 -0.84]	[-0.84 -0.54]	[-0.54 -0.36]	[-0.36 -0.18]	[-0.18 -0.03]	[-0.03 0.12]	[0.12 0.29]	[0.29 0.44]	[0.44 0.64]	[0.64 0.90]	[0.90 2.03]
GCGSCMNTTT_UNKNOWN GCGSCMNTTT_UNKNOWN	-0.668	-0.668	-0.668	0.761	-0.668	1.950	0.761	-0.668	1.295	-0.668	-0.235
PPARGC1A_TARGET_GENES PPARGC1A_TARGET_GENES	0.424	0.716	0.716	2.037	-0.776	1.085	-0.412	-0.412	-1.429	-0.776	-1.374
MIR224_5P MIR224_5P	-0.836	-0.836	0.254	-0.836	-0.354	0.992	-0.354	0.254	-0.354	-0.354	3.831
MIR548AU_3P MIR548AU_3P	-0.626	-0.626	0.394	0.394	-0.225	-0.626	0.394	-0.626	3.807	-0.626	-0.211
MIR520F_5P MIR520F_5P	-0.626	-0.626	-0.225	-0.626	0.394	-0.225	-0.225	-0.626	-0.626	2.887	1.441
MIR1253 MIR1253	0.165	-0.500	0.165	-0.500	-0.500	-0.500	0.165	-0.500	-0.500	3.520	1.091
MIR7156_5P MIR7156_5P	0.522	-0.500	-0.500	-0.500	0.165	0.522	-0.500	-0.500	-0.500	3.520	0.174
TFAM_TARGET_GENES TFAM_TARGET_GENES	-0.291	-0.291	-0.291	-0.291	-0.291	-0.291	-0.291	-0.291	-0.291	1.704	2.790
MIR502_5P MIR502_5P	-0.250	-0.250	-0.250	-0.250	-0.250	-0.250	-0.250	-0.250	4.484	0.359	-0.240
CTAGGAA_MIR384 CTAGGAA_MIR384	0.238	-0.375	-0.375	-0.375	-0.375	-0.375	0.710	0.238	-0.375	-0.375	3.337
MIR330_5P MIR330_5P	-0.333	-0.333	-0.333	-0.333	-0.333	-0.333	-0.333	0.271	2.460	1.530	-0.320
MIR3145_5P MIR3145_5P	-0.375	-0.375	-0.375	0.238	-0.375	-0.375	0.238	-0.375	-0.375	3.261	0.736
MIR4722_5P MIR4722_5P	-0.417	-0.417	-0.417	-0.417	-0.417	0.210	1.257	-0.417	2.046	-0.417	0.663
DROSHA_TARGET_GENES DROSHA_TARGET_GENES	-0.333	-0.333	-0.333	-0.333	-0.333	-0.333	0.271	-0.333	0.271	0.271	3.657
