GO	[-32.96 -1.61]	[-1.61 -0.96]	[-0.96 -0.55]	[-0.55 -0.25]	[-0.25 0.01]	[0.01 0.23]	[0.23 0.53]	[0.53 0.91]	[0.91 1.68]	[1.68 15.22]	[15.22 18.15]
ACCATTT_MIR522 ACCATTT_MIR522	-0.467	1.219	-1.005	-0.467	2.382	0.772	-1.005	0.424	0.424	-1.005	-0.967
SNRNP70_TARGET_GENES SNRNP70_TARGET_GENES	-0.715	-0.715	-0.715	-1.180	0.926	2.176	1.704	0.926	-0.230	-1.180	-1.121
MIR802 MIR802	-0.500	0.522	-0.500	0.522	-0.500	-0.500	0.165	-0.500	-0.500	3.520	0.174
PER1_TARGET_GENES PER1_TARGET_GENES	-0.500	-0.500	-0.500	0.165	0.522	-0.500	3.520	0.522	0.165	-0.500	-0.481
MIR4456 MIR4456	0.794	3.580	-0.333	-0.333	-0.333	-0.333	-0.333	-0.333	-0.333	-0.333	0.282
MIR4695_3P MIR4695_3P	-0.250	-0.250	0.359	-0.250	-0.250	-0.250	-0.250	-0.250	-0.250	-0.250	4.564
MIR8069 MIR8069	-0.291	-0.291	-0.291	0.311	-0.291	-0.291	0.311	-0.291	-0.291	-0.291	4.052
MIR6510_5P MIR6510_5P	-0.417	-0.417	-0.417	-0.417	0.639	0.210	-0.417	1.257	-0.417	-0.417	2.103
ACTWSNACTNY_UNKNOWN ACTWSNACTNY_UNKNOWN	3.261	-0.375	-0.375	0.238	0.710	-0.375	-0.375	-0.375	-0.375	0.238	-0.361
MIR3935 MIR3935	3.510	-0.208	-0.208	-0.208	-0.208	-0.208	0.420	-0.208	-0.208	-0.208	-0.200
