GO	[-24.60 -0.85]	[-0.85 -0.54]	[-0.54 -0.35]	[-0.35 -0.20]	[-0.20 -0.06]	[-0.06 0.08]	[0.08 0.20]	[0.20 0.32]	[0.32 0.50]	[0.50 0.76]	[0.76 3.73]
GSE22886_NAIVE_BCELL_VS_DC_UP GSE22886_NAIVE_BCELL_VS_DC_UP	-0.919	-0.919	-0.919	-0.919	0.215	0.215	-0.409	0.875	6.146	0.215	-0.898
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP	0.756	-1.384	0.228	2.124	-1.384	-0.742	-0.742	0.451	0.451	-1.384	1.645
GSE22935_WT_VS_MYD88_KO_MACROPHAGE_12H_MBOVIS_BCG_STIM_UP GSE22935_WT_VS_MYD88_KO_MACROPHAGE_12H_MBOVIS_BCG_STIM_UP	-0.877	0.526	-0.381	1.445	-0.877	-0.381	-0.877	-0.877	-0.381	0.234	3.616
GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_DN GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_DN	0.655	1.584	3.994	0.271	0.271	-0.333	-0.829	-1.241	-0.829	-0.829	-1.774
GSE15330_GRANULOCYTE_MONOCYTE_PROGENITOR_VS_PRO_BCELL_UP GSE15330_GRANULOCYTE_MONOCYTE_PROGENITOR_VS_PRO_BCELL_UP	0.280	0.884	1.313	-1.257	0.884	-0.323	-1.257	1.313	-1.257	0.280	-1.228
GSE22611_UNSTIM_VS_2H_MDP_STIM_NOD2_TRANSDUCED_HEK293T_CELL_UP GSE22611_UNSTIM_VS_2H_MDP_STIM_NOD2_TRANSDUCED_HEK293T_CELL_UP	-0.302	3.900	1.377	-0.302	-1.215	-1.215	0.300	-0.616	0.300	-0.616	-0.596
GSE7831_CPG_VS_INFLUENZA_STIM_PDC_1H_UP GSE7831_CPG_VS_INFLUENZA_STIM_PDC_1H_UP	2.524	-0.435	0.682	-1.469	0.682	0.401	0.401	-1.469	-1.469	-0.220	0.210
GSE15735_CTRL_VS_HDAC_INHIBITOR_TREATED_CD4_TCELL_12H_UP GSE15735_CTRL_VS_HDAC_INHIBITOR_TREATED_CD4_TCELL_12H_UP	-0.919	-0.919	-0.919	1.365	-0.919	-0.409	-0.409	1.365	0.875	-0.409	1.401
GSE6259_33D1_POS_DC_VS_BCELL_DN GSE6259_33D1_POS_DC_VS_BCELL_DN	-1.130	-1.130	-1.130	-1.130	-0.261	1.037	1.517	1.037	0.644	0.345	-0.250
GSE37301_CD4_TCELL_VS_RAG2_KO_NK_CELL_DN GSE37301_CD4_TCELL_VS_RAG2_KO_NK_CELL_DN	0.994	-0.353	-0.835	0.994	-0.835	-0.835	0.994	-0.835	-0.835	1.531	0.264
GSE4811_CLASSSICALY_ACTIVATED_VS_TYPE_2_ACTIVATED_MACROPHAGE_UP GSE4811_CLASSSICALY_ACTIVATED_VS_TYPE_2_ACTIVATED_MACROPHAGE_UP	-0.751	1.133	-0.751	-0.300	2.422	-0.300	-0.751	-0.751	-0.751	0.655	0.674
