GO	[-3.96 -0.69]	[-0.69 -0.46]	[-0.46 -0.29]	[-0.29 -0.15]	[-0.15 -0.03]	[-0.03 0.07]	[0.07 0.17]	[0.17 0.28]	[0.28 0.42]	[0.42 0.64]	[0.64 1.95]
MAPK3_TARGET_GENES MAPK3_TARGET_GENES	-0.556	1.035	-1.132	-0.556	1.514	3.420	-1.132	-0.556	-0.262	-0.262	-1.089
MYC_Q2 MYC_Q2	1.085	-1.429	0.212	3.252	-1.429	-0.412	-0.412	-0.412	0.212	0.716	-0.735
MIR224_5P MIR224_5P	-0.836	-0.836	-0.836	0.254	0.254	1.529	-0.836	-0.354	-0.354	0.254	2.993
PPARGC1A_TARGET_GENES PPARGC1A_TARGET_GENES	0.212	2.614	0.424	1.527	0.424	-0.412	-0.412	-0.776	-0.412	-1.429	-1.374
TGASTMAGC_NFE2_01 TGASTMAGC_NFE2_01	2.382	0.772	-0.467	-0.205	0.424	-1.005	-0.467	-1.005	-0.467	-1.005	1.277
EVI1_02 EVI1_02	-0.333	-0.333	2.460	1.530	-0.333	0.271	-0.333	-0.333	-0.333	-0.333	-0.320
MIR6754_5P MIR6754_5P	-0.333	-0.333	-0.333	2.460	-0.333	-0.333	-0.333	0.794	-0.333	-0.333	0.820
TERF2_TARGET_GENES TERF2_TARGET_GENES	0.238	-0.375	-0.375	-0.375	-0.375	-0.375	-0.375	1.383	-0.375	0.238	2.295
MIR5579_5P MIR5579_5P	3.510	-0.208	0.420	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.200
