	log2FoldChange	baseMean	lfcSE	stat	pvalue	padj
ISG15	-0.8553887231343729	0.526797502006656	0.23730052882668196	91.73987141751422	2.8954694934168044e-18	1.1417277640708122e-17
AURKAIP1	0.09073536117518884	4.094618729082747	0.08640379523870347	788.5938489338441	3.3944660338234246e-168	2.35452507618843e-166
MRPL20	-0.19186933052593563	3.3403537481998713	0.11360364867077381	36.514155935528834	7.494335233999697e-07	1.3502190752164744e-06
SSU72	-0.29942333065138116	1.3604938640536914	0.18664982360093338	64.40368084122201	1.4899501403127863e-12	4.210488729846874e-12
GNB1	-0.1575099996344352	0.7096306798886911	0.20477206800205489	113.14259812080672	8.873984894911482e-23	4.340288765908629e-22
FAAP20	0.17912370082063006	1.4036984216913266	0.15181168135004736	38.05576649758768	3.67714932312959e-07	6.79337756306992e-07
RER1	-0.43880891583239984	0.38963642825204853	0.20806762307721097	7.141586947113865	0.21032148555716165	0.2208882222713205
RPL22	0.4357426457509651	8.05645193143297	0.0759369633232201	143.9261615462965	2.6174603945457453e-29	1.6437220420069165e-28
CAMTA1	0.7175319258235943	0.8463690971239994	0.18352390256543738	70.19054875208712	9.353608729624047e-14	2.860442268818897e-13
PARK7	-0.05461572273679151	3.0789551494380984	0.11057726814565373	96.70793663267614	2.6094664538347516e-19	1.1000126542960859e-18
ENO1	-0.28291006712526257	3.9676945507988246	0.11629452866146242	125.2764557136943	2.3908052941368537e-25	1.3218727821930576e-24
TARDBP	-0.5281049955867292	0.5149273383219407	0.20604177915005167	48.33473435878659	3.034730445056875e-09	6.770465875960221e-09
SRM	-0.10794403475948004	2.8025878950572523	0.11578490505470686	74.08825842050646	1.4416038484589564e-14	4.690591626329142e-14
MAD2L2	0.04109447041373976	0.45733543133670046	0.2059053842815387	1.4064618794200214	0.9236051096409422	0.9242107523357889
SZRD1	-0.10210253806050673	0.47305864107542234	0.20486317711246466	29.42797200527457	1.9108948764674145e-05	2.996943043668319e-05
SDHB	0.006754673105342754	0.34475876118973847	0.20745858735549008	9.155468301893052	0.1030214308462158	0.11141793300590029
CAPZB	0.2145584629236998	0.4890791882896947	0.20603659677174385	20.242910381190086	0.001125108543922817	0.0015140349541677414
MICOS10	0.04575951074970987	2.6869486405618446	0.12613430886701824	26.677293210395874	6.591743827654842e-05	9.852106837415562e-05
HP1BP3	0.09023005764217543	0.64826781992671	0.20582975117421068	21.85011149010279	0.000559085971234529	0.0007720951964741096
