	log2FoldChange	baseMean	lfcSE	stat	pvalue	padj
ISG15	-2.418058917431961	0.2503836875126097	1.2253258445203052	17.40882853554558	0.0037862892035099714	0.00870162247674129
AURKAIP1	-0.9876308999406589	3.3788844794260315	0.5191806565458748	264.3118209119639	4.6594104944749224e-55	2.6334297831736045e-53
MRPL20	-0.4662591882393903	2.4986687257549045	0.5559070071657011	5.84930879453168	0.3211591168157403	0.3855930859644529
SSU72	0.35906619811817536	0.8570195210425883	0.9810593928522855	11.296231599946168	0.04581283649177004	0.07501114644467927
GNB1	18.144549343727906	0.5246802795372861	1.5302749632296	67.44777440881899	3.4780994524507113e-13	3.1781914757124463e-12
FAAP20	0.21069209380870632	1.1800132528092868	0.934932074412029	18.684740597674136	0.0022000451949767226	0.00535449596098003
RER1	15.727747082269463	0.2831162993205976	1.5674452997130697	2.7539383520297633	0.7378572494285377	0.7696310065809627
RPL22	0.28071793763241937	8.330413269346552	0.34926543564175044	27.744515047868845	4.083241653420283e-05	0.0001419368283170695
CAMTA1	2.4154859459218385	0.7025663702846738	1.4485674156034738	10.740436480731205	0.05677628533494046	0.08996948226492123
PARK7	0.27222277895006475	2.4623102399002943	0.715389534976534	48.91452452834528	2.3103375654356276e-09	1.4568492251465981e-08
ENO1	-1.0245305136339984	3.5498086925635137	0.5826078896790307	60.89408924859072	7.941692762748117e-12	6.412181563996627e-11
TARDBP	-0.8789740016209987	0.37631979625699186	1.1849729034585186	22.25858566471834	0.000467525549447698	0.0013435856656444202
SRM	-1.0570368515266861	2.0867483759819514	0.6243726552636191	45.96261063202019	9.24268927554756e-09	5.362868378131398e-08
MAD2L2	0.7575439773932078	0.40707219134527156	1.1569110713218709	6.314702507466336	0.2767899584866728	0.3414563271226053
SZRD1	0.6700367410773327	0.35136562878687405	1.1758541419921675	16.062965162551336	0.00666658596457343	0.014448867466610095
SDHB	-1.7916898333226747	0.27150952605231077	1.495010992535058	11.929192546866489	0.035770993411069235	0.061058765039476125
CAPZB	15.326867564870165	0.4144544882734049	1.5509066243402754	16.458536380590886	0.005649864918562493	0.012523011117032959
MICOS10	-0.2362790038054683	2.124581719611626	0.5073414423120266	9.632792202596647	0.08633418748355011	0.12878393949159087
HP1BP3	-0.47758281228036975	0.5278904729388976	1.1479173341902733	7.24748919909598	0.2028752692026888	0.26370328858884423
CDC42	0.2599800799262967	0.5278648524141237	1.4841855896195013	2.0186254947971065	0.8465618882062695	0.8658535130045356
HNRNPR	0.5673735405992069	0.8763894001492767	0.8441929668977047	6.902381166157284	0.22800217445830886	0.2899427651861495
ID3	-1.043544918400076	0.5787329734833455	1.5109195369511408	64.52820632952535	1.4039489493858397e-12	1.2312793659556272e-11
RPL11	0.24590621161517145	34.05712450659975	0.2660560002386465	24.927344573145092	0.00014390725527730564	0.000456553994913032
SRSF10	0.8687289528155729	0.5041781356092607	0.9655564713960318	22.289422876049684	0.0004612474823509325	0.001328044637863251
SRRM1	0.3656432261898914	2.1085079522100414	0.6374763673812157	19.377735302731708	0.0016342713693502887	0.004108563607295784
STMN1	-0.5581460986632524	1.084843603706976	1.2019499861783423	78.69262253575016	1.5750085948878916e-15	1.7291101552510234e-14
