	log2FoldChange	baseMean	lfcSE	stat	pvalue	padj
ISG15	0.5370219170777477	0.2503836875126097	0.37142465469376973	21.588455474601915	0.0006268082240724797	0.0016722191432423149
AURKAIP1	0.10997145362315726	3.3788844794260315	0.09918814315099105	267.8602728405049	8.061520357122675e-56	4.100626688323067e-54
MRPL20	0.12838758696216374	2.4986687257549045	0.1331342584930508	12.025808677959503	0.03443584819990694	0.05724303306433333
SSU72	0.2698910759708429	0.8570195210425883	0.23219451292512738	15.606423127767357	0.008062377803841338	0.01608259938387174
GNB1	0.19541875920214838	0.5246802795372861	0.32919905660717297	59.732090782568775	1.3806885870490425e-11	9.938352753947353e-11
FAAP20	0.43431528867263874	1.1800132528092868	0.18057625924472698	26.684869037459976	6.569418335109068e-05	0.00020829914592290373
RER1	-0.048656836804225785	0.2831162993205976	0.37866362668768216	1.2620556374949956	0.938787263105128	0.9449797912258742
RPL22	0.1835403195154052	8.330413269346552	0.07784209497853077	35.376319541705016	1.2656156920668656e-06	5.349943340980712e-06
CAMTA1	0.833516869177634	0.7025663702846738	0.25794171045407865	14.83343055750629	0.011098285858284216	0.021437954708533814
PARK7	0.025444077595431717	2.4623102399002943	0.1200747799006139	53.53234457769122	2.6148434578269973e-10	1.6488640977867758e-09
ENO1	-0.5294052333575805	3.5498086925635137	0.111204033748239	88.8451198828152	1.1745646480650994e-17	1.2534165405226165e-16
TARDBP	-0.018820390726400214	0.37631979625699186	0.4053443442527021	22.983952023594156	0.0003399589890077349	0.0009501417897908488
SRM	0.14118151334356466	2.0867483759819514	0.13018023206193208	46.984036901119	5.724197869895087e-09	3.1085857471387555e-08
MAD2L2	0.4450220540040624	0.40707219134527156	0.35021119640603193	13.233204419463164	0.021288695407318866	0.0378190328190554
SZRD1	0.05497465250813292	0.35136562878687405	0.38467321197934556	13.82362157359512	0.016769476639566766	0.03046454922854629
SDHB	0.015464237927834393	0.27150952605231077	0.33559858961382616	10.866495093174308	0.054092195752974956	0.08457447819573749
CAPZB	-0.5930513329912097	0.4144544882734049	0.2955999296575089	20.540363274029005	0.0009890634760588819	0.0025238902592528735
MICOS10	0.11327981059565154	2.124581719611626	0.14467918191090015	5.678571666354401	0.3387617958465203	0.3994980683630525
HP1BP3	-0.15331331327396874	0.5278904729388976	0.300327740222226	10.357871750442428	0.06570736077911479	0.09996952397699818
CDC42	-0.44992201051807335	0.5278648524141237	0.2801941516489043	4.890805272666967	0.42935142589774683	0.4885833526621638
HNRNPR	0.15833162630866282	0.8763894001492767	0.22384299598946275	2.4087957715837547	0.7901635405492	0.8163774968707375
ID3	-0.08690311658163512	0.5787329734833455	0.223595619495754	59.239734227304325	1.745001424715439e-11	1.238545197263144e-10
RPL11	0.15401142075732602	34.05712450659975	0.046084864761990994	67.05911461197138	4.1887449034608295e-13	3.277961396246782e-12
SRSF10	-0.031253906301708025	0.5041781356092607	0.32172537782607247	20.30756577320517	0.0010940526561312755	0.002773296267867652
SRRM1	-0.1432350402618228	2.1085079522100414	0.1494078504853931	24.59418605625251	0.00016685482994617857	0.0004945510572718514
STMN1	-0.5424869608523967	1.084843603706976	0.17754640930945254	98.15681947407484	1.292473305029377e-19	1.590576018931314e-18
ZNF593	-0.1552196996654703	0.4280947392049452	0.3578018875565841	11.007800083280017	0.05122554995116592	0.0807543277122719
SH3BGRL3	0.24899377102046133	0.5248617067194988	0.27308917050358944	10.878701137980897	0.05383873576463016	0.0844058189591334
HMGN2	-0.07388561636520838	4.367706476690464	0.10720273532098243	15.833183562473096	0.007336837614247523	0.014928018932455628
NUDC	-0.5847698164654394	1.1402761214478874	0.17893332359640343	45.24408805372241	1.2941929795282088e-08	6.672089482297454e-08
WASF2	0.5336378415478792	0.5857923131891363	0.2980421505699383	13.710889982174194	0.0175540205541551	0.031738667494834935
DNAJC8	-0.37165452684654027	0.6704801681784035	0.2531259282084064	13.965824236796834	0.015827968603872495	0.029030625107583446
ATP5IF1	-0.012315629989229769	2.368466720398172	0.1351848449639889	3.8075833496650375	0.5774384487245477	0.6227357404619505
SNHG3	0.03321619183856552	1.1602337636119755	0.20252892311603693	18.915599442638268	0.001992964728752866	0.0047519752751201145
YTHDF2	0.2909933010294544	0.4069744185662841	0.31788615497503225	15.081136405659436	0.010021222498295512	0.019555480220459016
ZCCHC17	-0.4254060298474986	0.6097027671154414	0.2617510849648785	6.624158797774726	0.2501256308440387	0.3088120652653747
PTP4A2	0.21457645766684524	0.4622502434575763	0.3244360229458984	24.32058557383516	0.00018837888551011066	0.0005485995787947116
KHDRBS1	0.4827171288341997	0.8237111830001422	0.26339948097179916	25.446173842040025	0.00011424054216783957	0.00034936085640906454
KPNA6	-0.3218144542678505	0.38244189001267703	0.3531418358903529	10.854248703648409	0.05434762137144704	0.08488686818099096
TXLNA	-0.2883033186440054	0.27726600905680665	0.36239595100105554	19.559087262460253	0.0015115559490542158	0.003720378029446344
EIF3I	-0.9633845108595999	0.4294122869965972	0.30532105537021725	21.27220673911188	0.0007195237212352924	0.001880125340077151
MARCKSL1	-0.18553185776708608	1.345000060593433	0.16770603393221872	35.39846465262326	1.252790413775276e-06	5.310439365058531e-06
ZBTB8OS	0.6720852445283461	0.32780173818535063	0.36144702418578006	4.933914241502862	0.42399857053030554	0.48357385547776255
YARS1	0.24502809163711287	0.40282084371288457	0.3229581133540958	4.787003871322668	0.4424237373050759	0.5016093748145289
TMEM54	0.08075908875055852	0.31189626843354423	0.3282579368444119	6.849631630279873	0.2320657510167019	0.2895603728957376
AK2	-0.30556271152687675	0.397355363984384	0.3059941262564351	5.960728964519603	0.31005893905754284	0.3696483914076643
SMIM12	0.11062340741078774	0.31813589585101587	0.36284454678639155	1.485428190555922	0.9147452468704569	0.9252292719953848
SFPQ	-0.06621446788684865	0.8974946933406365	0.2291932674646979	3.899018810940106	0.564044588584402	0.6104482568651045
PSMB2	-0.4362974059443478	0.7908993880127378	0.2036292709448985	78.72042548307718	1.5540677381546966e-15	1.446041078307358e-14
CLSPN	0.12162451818629758	0.9775955648591267	0.22663761342612576	8.962389644984796	0.11057374480641166	0.1559478138397266
TRAPPC3	-0.10779832623153313	0.3472234328560032	0.3118935068816354	8.875831089441817	0.11412051689359237	0.15962228119122088
THRAP3	-0.4962669412206666	0.6194376189945301	0.22904893033955062	49.64669950397001	1.6367412999957573e-09	9.643502794569598e-09
LSM10	-0.07768209168401567	0.5341933352115351	0.26735726019510353	7.015669352374971	0.21947756451151804	0.27748364825565575
MRPS15	-0.20390129262335469	0.9030575768390392	0.19561467063443994	10.083931880315504	0.07289170567724787	0.10883830025780847
C1orf122	0.38613916529804976	0.5251087922267047	0.2728092888194296	5.361934030357588	0.37332287453976865	0.4358765926149097
NDUFS5	-0.016306317007033097	2.967440228718195	0.11616877802382145	56.13947650078353	7.606478489216876e-11	5.136055829444669e-10
CAP1	0.38509597269000884	0.41754533199106336	0.33598466730508175	24.105341167582083	0.00020722288686173026	0.0005977733938582237
YBX1	-0.13702541991315792	7.155895542840937	0.0759056406644707	44.108141498233636	2.2020449696287244e-08	1.1126889482296137e-07
EBNA1BP2	-0.19033790068557746	0.4413467653357479	0.27962408835029917	30.083854178518322	1.419852215441227e-05	4.980906852329454e-05
CDC20	-0.5556939957473831	0.46491412493314155	0.26894771108326065	42.7499635816157	4.1523300306737474e-08	2.0374455391666043e-07
ATP6V0B	-0.2337536558656572	1.286303952166742	0.15977999927477662	44.23494510112323	2.0752889835638652e-08	1.0521232521323782e-07
RPS8	0.21690431494090365	34.22756272956073	0.045252499942247656	68.25639872461215	2.36205353324954e-13	1.8676133117817607e-12
PRDX1	-0.4596258225539781	0.6885308849499076	0.23267355980108145	69.61968214632907	1.2296212233557105e-13	9.980861632131992e-13
NASP	-0.07682415709612685	1.2328894263626884	0.18714357249638264	18.999492487298994	0.0019225552433685552	0.00461292342984342
UQCRH	0.1767532242455747	8.941244870960642	0.076052986576327	70.42755553723691	8.34926510076102e-14	6.849988464387805e-13
NRDC	-0.21232192280665438	0.5780883149019229	0.2875836281437231	7.169545197779371	0.2083333126657351	0.26603902521164163
MAGOH	0.2046683253551771	0.3719964199540606	0.32457672171425433	5.113719891341134	0.40216001988011424	0.46421799571637995
HSPB11	0.5158308949613363	0.3663701167825372	0.3428824171905906	6.103080969101029	0.29631754942624533	0.355487877692178
MRPL37	-0.4140950849083618	0.5012240863280025	0.2683757029895717	13.65660214358104	0.017944338813323215	0.03229134555322079
DHCR24	0.41749941156221143	0.4731014457751522	0.32465163942591746	30.26147731876108	1.3099737543082806e-05	4.6060367490194386e-05
USP1	0.494824466093582	0.42071317771128075	0.32292617597628115	6.95626082665558	0.2239136243217917	0.2826238136600944
SERBP1	-0.011211193796941566	2.7932252335842853	0.1269674944330637	10.054581949849307	0.07370338102045437	0.10983531195040369
SRSF11	-0.1555063546218231	0.9897092118103602	0.20717439214566089	2.3830917693694573	0.7939893997236476	0.8192209763206802
ZRANB2	-0.11636695635081663	0.4468613020937915	0.3030840082880532	7.06957173028195	0.21551738118855635	0.27429484878543536
TYW3	-0.24097647305376388	0.35831029768725403	0.3387166394084444	4.475884029712688	0.4831165421978437	0.5377358449262651
FUBP1	0.5185255008725932	0.40923491462412426	0.3825620269491012	12.050859081558883	0.034097500202896425	0.056928649135251586
GNG5	-0.08696581283896097	1.4354392308154122	0.17270014955386975	3.0342881867982214	0.6946994435921756	0.731615839145383
RPL5	-0.16986434547364657	9.30514937780997	0.07121865441915066	27.626223943112564	4.3062723362506317e-05	0.0001410165576205679
SARS1	-0.6556918815261802	0.46085414582012413	0.3093037961633408	8.603291727933083	0.12597272752911437	0.17505890720087716
PSMA5	-0.9210755962925525	0.3284867474856227	0.3401052074344113	20.67267040171828	0.0009338827578144636	0.0023991668155300865
AHCYL1	0.7586625178137661	0.24482309237449834	0.4589696427500455	21.908755168644802	0.0005449274815707556	0.0014796429481796671
LAMTOR5	0.1409581842190682	1.5795292646357957	0.1653940752466861	5.206043417594628	0.39125554371847315	0.4541046635265214
ATP5PB	-0.4756153026847491	0.6203610097971168	0.2414157444785301	10.104686671875243	0.0723227590377478	0.10828282812155184
CAPZA1	0.020347464209925736	0.2941320576656887	0.39516859969596196	10.246013032150131	0.06855722517276956	0.1036851591810172
BCAS2	-0.8264226215231624	0.15347328924892287	0.44550845637788944	16.025967047752374	0.0067703265545597975	0.013867809828534566
CSDE1	0.16561004542636074	0.6485260078491782	0.3051850424085065	24.828949710707093	0.00015033858413644144	0.00045072039173322127
PHGDH	-0.3734882626832336	0.5719694804603992	0.26407202594285706	27.466307069351842	4.62710057577509e-05	0.0001505534217192492
RBM8A	-0.31308045344285224	1.5059350757689378	0.1513174570771068	46.296795260966974	7.902245256144006e-09	4.2016816239985205e-08
H2AC20	-0.04303907586200068	0.520256684838856	0.33985316212405303	6.911843229284386	0.22727963904101794	0.2858968201977961
ANP32E	-0.6343677740461829	0.40956871081455803	0.34286855170091624	11.456323215110388	0.04304660905184716	0.06921931023510934
MRPS21	0.13267048764353967	1.9165628205234324	0.14529773178893046	10.906323591341788	0.053269272408749006	0.08380299968634122
ENSA	0.02068766119531817	0.519947303853903	0.2647189442313471	3.783336396872528	0.5810125590477859	0.6261477154709897
PSMD4	-0.4016711268302847	0.5182528360579404	0.2500766859387847	47.2406350687138	5.074530810102943e-09	2.7955718470097805e-08
PSMB4	-0.3423232867299894	0.5689882115280618	0.26548197660158074	13.33711289046687	0.020416363113984263	0.03639646041114484
SNX27	0.5389414038888957	0.3762751463375036	0.3664933258436209	9.519140862351833	0.09006468127799074	0.12973865609765456
S100A10	-0.5246011340848	1.12786012178806	0.19230680340713924	15.652706242031854	0.007908838011411373	0.015859246787665905
S100A11	-0.4395614640077493	0.31882876675947724	0.35073053958364764	14.306770656831759	0.013773824176919351	0.025853451038104464
S100A6	-0.8217062890096004	0.047431797189420505	1.3271038474194319	8.148969832186708	0.1482144585209606	0.2003323859193852
S100A13	-0.04025627094261171	0.39097114812110434	0.3483001441704197	3.7658668051385575	0.5835932345533423	0.6284850218266763
ILF2	-0.22284212235838916	0.6522220254776301	0.24820512331546976	17.215407114876598	0.004108880268965882	0.008944581013469238
JTB	0.22319319085436246	1.2815199450863208	0.1766372095957417	30.722389924129857	1.0626759013378917e-05	3.803463597159103e-05
RAB13	-0.09573231189229957	0.7449818765090916	0.23584269149978915	7.81612523739841	0.16666471583807346	0.22000895879662638
RPS27	0.5347887609369149	24.585520593087637	0.0626119421561327	513.9386531082964	7.822720407735636e-109	1.193747134220458e-106
TPM3	0.053599125181857776	0.9384019554649387	0.21686125655431246	2.9197895077268186	0.7123504762274464	0.7481395916882885
HAX1	-0.17041856362729288	0.7354643287281655	0.22821481416195147	10.14788273254726	0.07115186645141322	0.10697315094074539
CKS1B	-0.1039542739301455	1.3938571138808917	0.15880448742155703	40.637975656641174	1.1103051745580138e-07	5.245590391255508e-07
DPM3	0.40740887207728643	0.41545761207330506	0.3878812546142514	22.93979160796016	0.00034663062512221886	0.0009652524341907044
KRTCAP2	0.18360825865284242	1.2512267320467896	0.18502655280756392	5.183183095244203	0.39393597668220476	0.4567981006208544
AL353807.5	0.8556381074116589	0.11760539304646045	0.7327331724963974	7.211478341837392	0.20538150588400372	0.26359308492766165
SSR2	-0.30374538375937543	0.5942157435897993	0.25137535715313136	9.91350487572754	0.07772347404277184	0.1143875178698606
LAMTOR2	-0.0036063537767282113	0.8839478854955405	0.21742412701500788	0.9152829580216348	0.9691053566967278	0.969740835619152
LMNA	-0.10252814196911482	0.5231756107545864	0.2613608965696809	8.13381588385073	0.14901333936000097	0.2012339432419128
CCT3	-0.3747063281439771	1.583146583710046	0.16465280313088165	24.680260457093027	0.00016060064208123706	0.00047960191744807776
NAXE	0.1399561784301524	0.41558957118589024	0.29634679403676567	9.517491276275905	0.09011990528408509	0.12973865609765456
GPATCH4	-0.37389909123194776	0.4393380210205767	0.315165344254078	12.132506533749165	0.033016559628175124	0.05530545553523078
HDGF	-0.0758464578992005	0.6572956070416609	0.2845932580451397	17.776396341604595	0.0032401000000937337	0.007292614454488255
TAGLN2	0.1794200072788133	0.6481144531487973	0.25781043792103275	10.88112683347481	0.05378849919291481	0.0844058189591334
AL121985.1	0.033536553887696045	1.7365021725023508	0.19554338899802257	19.374098727720593	0.0016368296482031626	0.003977391788468194
PFDN2	0.006329964668582339	0.9360579769466043	0.22408222095607333	4.656126010247135	0.4592698070622435	0.51608669041015
MPC2	0.0014511229205452624	0.4976649604820235	0.25844342391730357	19.382412268311782	0.0016309869648290507	0.0039695153242888855
PRRC2C	-0.19512290023943749	1.346041740845736	0.1801182026052715	8.473349748287546	0.1320059598226451	0.18172948162130517
PRDX6	0.040936735009351174	0.8305602257021724	0.20256122807438884	36.782631734623465	6.621460035093963e-07	2.886956575300968e-06
GAS5	0.25263017442050495	2.6562399315455276	0.141279427953673	22.516959100061285	0.00041742611343171426	0.0011518847180773887
CACYBP	-0.21690632983526692	0.8088065353161928	0.21400785892321905	19.648964172804426	0.0014541416074859122	0.0035848466769361907
TOR1AIP2	-1.126498870301201	0.2498583824516885	0.5020850200232911	24.929218831362732	0.00014378742979954343	0.0004336356084468444
DHX9	-0.04279864622087108	0.48653567668485737	0.31652475873931896	6.40009560436738	0.2692104084715338	0.32970712947637293
TPR	-0.4086366208605053	0.6858429988968059	0.24203001413435443	5.601934965154214	0.3468977574941982	0.40783203230827925
TIMM17A	-0.059687668572621706	0.43978501802775444	0.3026458619082552	2.049503059273775	0.8422538243759445	0.8614472761378628
SNRPE	0.04109435203708534	3.6208736823526864	0.11292192100038413	3.669106969139648	0.5979679504338817	0.6412502405917805
NUCKS1	-0.11616157630093296	4.736823704412715	0.10364643657812998	6.706858618944352	0.243370221280996	0.3015032026852782
NENF	0.05497098521296008	1.7988419567717469	0.1518987595986522	11.434498798579625	0.04341417916759176	0.06963705652472191
CENPF	-0.17133833588770161	2.0066485604065134	0.15901600626670342	7.9350014454048505	0.15985439357681397	0.21341890166073327
RRP15	-0.020031394505829407	0.3318268671729906	0.4091548595659296	11.098147999389312	0.04946835216688031	0.07814565777086889
CNIH4	0.1946472484110188	0.5873056809560406	0.24605862783732413	9.17897762150642	0.10213478671752795	0.14484914919233052
ENAH	0.5431794470143122	0.7723906695131773	0.24206455874087424	11.06091619522249	0.05018548271857639	0.07919653219084548
H3-3A	0.15696664273809255	4.713595712760433	0.10186125567997868	14.822975263755325	0.011146132865875588	0.02147600852692695
ACBD3	0.5662118671054106	0.2509124985232912	0.40983754625679625	7.047246199013216	0.21715019731818688	0.27569914957643127
PARP1	0.07516376172627576	2.755260692818902	0.1234969211224107	15.742841726699226	0.0076179428078459194	0.015397325463275328
ARF1	0.18262044453164972	0.5496788930913293	0.28088533315553077	2.1093616035104787	0.8338152352615571	0.853961106717541
C1orf35	0.3048779052804542	0.6264987053993544	0.2482222893735192	3.2570715530946472	0.660420143127021	0.7008352840137928
MRPL55	0.08143992228291713	0.9513899647659104	0.19865219053791444	11.29475681511849	0.04583908411179898	0.07316991878096783
GUK1	0.008199402131105456	2.0031042869199855	0.13438738276850584	16.658936213433662	0.0051941839621791695	0.011039449479506145
TOMM20	0.05430627969628622	0.5941665185720117	0.2837548456053027	14.79867372688932	0.011258118768553194	0.021637140101778557
MTRNR2L11	0.4852968639536733	2.0535725093156016	0.15520142559093297	56.17384775748633	7.483500698234033e-11	5.098134850671935e-10
HNRNPU	-0.3827440294341052	1.2019183695247297	0.1876462216664187	7.037479111530047	0.21786782955122438	0.2762927640748969
ACP1	-0.30702309142641965	0.7668825148705017	0.22090851888165064	4.178315623009439	0.5240390696244858	0.5744853593728199
ADI1	-0.668321731422684	0.31696008279126087	0.3264516969480473	16.14759741212538	0.00643507024886718	0.013324175304981433
RNASEH1	-0.5772168302143507	0.2898375991998995	0.40731663044460953	16.936444267056686	0.004621922782060206	0.009892081578434608
RPS7	0.08860602902232748	19.028930885515656	0.055018682166370604	24.4063841657553	0.00018134913626716552	0.0005301509232637827
ITGB1BP1	0.5475531749806171	0.7739363313599361	0.2393694518250721	9.552561108109785	0.08895255028804966	0.12890939386473294
YWHAQ	-0.17609241486304586	0.7224339224306248	0.2577602505141992	26.74473369683983	6.395616450647868e-05	0.0002033273063268468
