GO	[-2.43 -0.84]	[-0.84 -0.55]	[-0.55 -0.37]	[-0.37 -0.19]	[-0.19 -0.04]	[-0.04 0.11]	[0.11 0.28]	[0.28 0.42]	[0.42 0.62]	[0.62 0.85]	[0.85 2.03]
GSE42021_CD24LO_TREG_VS_CD24LO_TCONV_THYMUS_DN GSE42021_CD24LO_TREG_VS_CD24LO_TCONV_THYMUS_DN	2.341	1.487	0.565	0.822	0.822	-0.422	-2.455	-0.422	-0.422	-1.606	-2.399
GSE14000_TRANSLATED_RNA_VS_MRNA_16H_LPS_DC_DN GSE14000_TRANSLATED_RNA_VS_MRNA_16H_LPS_DC_DN	-2.976	-2.053	-0.985	-0.429	0.339	0.520	-0.429	2.078	2.987	0.520	-0.403
GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_DN GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_DN	2.909	0.655	2.426	-1.241	-0.537	0.655	0.655	-1.241	-1.241	-1.241	-1.774
GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP	5.030	1.194	-0.710	0.244	0.479	-1.342	-0.710	-0.710	-0.366	-0.366	-1.311
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_UP GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_UP	4.233	-0.366	-0.710	1.667	-0.710	-0.710	-0.710	-0.366	-1.342	0.796	-0.687
GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_DN GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_DN	2.422	-0.751	-0.751	-0.751	-0.300	1.724	0.655	-0.751	-0.751	-0.751	0.674
GSE37605_TREG_VS_TCONV_C57BL6_FOXP3_IRES_GFP_DN GSE37605_TREG_VS_TCONV_C57BL6_FOXP3_IRES_GFP_DN	-0.507	0.584	5.693	0.336	-0.268	-0.906	-0.507	-0.268	-0.268	-1.597	-0.877
GSE25085_FETAL_BM_VS_ADULT_BM_SP4_THYMIC_IMPLANT_DN GSE25085_FETAL_BM_VS_ADULT_BM_SP4_THYMIC_IMPLANT_DN	-0.466	0.773	-1.004	-0.466	-1.004	-0.205	0.425	-1.004	1.221	-1.004	3.158
GSE14308_TH17_VS_NATURAL_TREG_UP GSE14308_TH17_VS_NATURAL_TREG_UP	-0.807	2.524	-0.435	-0.435	0.682	-1.469	1.963	0.401	-0.807	-1.469	0.210
GSE1112_OT1_VS_HY_CD8AB_THYMOCYTE_RTOC_CULTURE_UP GSE1112_OT1_VS_HY_CD8AB_THYMOCYTE_RTOC_CULTURE_UP	1.531	0.565	2.169	-0.353	-0.835	-0.835	-0.353	-0.835	-0.835	0.994	-0.816
GSE21927_SPLEEN_VS_4T1_TUMOR_MONOCYTE_BALBC_DN GSE21927_SPLEEN_VS_4T1_TUMOR_MONOCYTE_BALBC_DN	2.821	-0.710	-1.342	0.796	-1.342	-1.342	0.244	0.796	0.244	-0.366	0.499
GSE45837_WT_VS_GFI1_KO_PDC_DN GSE45837_WT_VS_GFI1_KO_PDC_DN	2.557	2.557	-0.536	-0.536	0.943	-0.367	-1.044	0.527	-1.408	-0.757	-1.800
GSE41867_DAY8_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP GSE41867_DAY8_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP	-0.709	0.330	-0.274	-0.274	-0.709	-0.709	-0.709	2.565	-0.709	0.330	1.873
GSE27786_LIN_NEG_VS_MONO_MAC_DN GSE27786_LIN_NEG_VS_MONO_MAC_DN	-1.046	-0.223	-0.496	4.548	-0.496	-1.046	0.396	-0.496	0.727	-0.496	-0.213
GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_DN GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_DN	-1.283	1.980	0.546	1.152	0.546	-1.283	-1.283	1.152	0.331	-1.283	-0.766
