GO	[-2.27 -0.87]	[-0.87 -0.58]	[-0.58 -0.39]	[-0.39 -0.19]	[-0.19 -0.05]	[-0.05 0.10]	[0.10 0.26]	[0.26 0.43]	[0.43 0.60]	[0.60 0.82]	[0.82 2.38]
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	9.952	0.606	-0.282	-1.174	-0.282	-1.174	-0.587	-0.587	-1.174	-0.282	-1.136
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	-2.994	-0.295	0.637	0.855	-0.907	1.108	2.074	1.108	-0.907	-0.295	-2.148
GO_ACTIN_FILAMENT_BINDING GO_ACTIN_FILAMENT_BINDING	0.233	-0.878	-0.878	-0.878	-0.878	0.233	2.757	1.444	0.525	-0.878	0.247
GO_TRANSLATIONAL_ELONGATION GO_TRANSLATIONAL_ELONGATION	2.837	1.486	0.359	0.564	-0.423	-0.682	0.359	-0.250	-0.682	-2.459	-1.543
GO_REGULATION_OF_DNA_BINDING GO_REGULATION_OF_DNA_BINDING	0.525	0.525	0.233	2.757	-0.878	0.932	-0.878	-0.381	-0.878	-0.878	-0.363
GO_ATPASE_COMPLEX GO_ATPASE_COMPLEX	-0.354	-0.836	0.993	0.254	-0.836	0.565	-0.836	0.254	2.900	-0.836	-0.337
GO_MITOTIC_SPINDLE GO_MITOTIC_SPINDLE	-0.920	-0.920	0.875	-0.409	1.364	-0.920	1.364	0.214	0.875	-0.409	-0.891
GO_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION GO_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION	-0.542	-0.177	-0.542	-0.542	0.475	-0.542	-0.542	-0.542	-0.177	2.385	1.654
GO_FEMALE_GAMETE_GENERATION GO_FEMALE_GAMETE_GENERATION	0.186	-0.458	3.791	0.186	-0.458	-0.458	0.577	-0.458	-0.458	-0.458	0.194
