GO	[-13.61 -0.47]	[-0.47 -0.32]	[-0.32 -0.20]	[-0.20 -0.12]	[-0.12 -0.05]	[-0.05 0.02]	[0.02 0.09]	[0.09 0.16]	[0.16 0.26]	[0.26 0.39]	[0.39 1.45]
GO_CYTOSOLIC_RIBOSOME GO_CYTOSOLIC_RIBOSOME	-3.686	-3.686	-3.686	-1.970	-1.970	-0.502	2.069	0.819	4.404	5.558	0.304
GO_REGULATION_OF_CELLULAR_KETONE_METABOLIC_PROCESS GO_REGULATION_OF_CELLULAR_KETONE_METABOLIC_PROCESS	4.093	3.375	-0.743	0.228	-0.389	0.228	0.228	-1.386	-1.386	-1.386	-1.342
GO_RESPIRASOME GO_RESPIRASOME	-2.720	-1.831	0.270	0.654	0.270	0.438	1.584	0.918	0.654	0.654	-2.633
GO_NUCLEAR_PERIPHERY GO_NUCLEAR_PERIPHERY	0.538	0.538	0.280	3.045	1.312	-0.323	-1.259	-0.648	-0.648	-1.259	-1.218
GO_PYRUVATE_METABOLIC_PROCESS GO_PYRUVATE_METABOLIC_PROCESS	1.833	2.564	0.705	-0.710	-0.710	-0.274	-0.710	-0.710	-0.710	-0.710	0.345
GO_UNFOLDED_PROTEIN_BINDING GO_UNFOLDED_PROTEIN_BINDING	2.569	2.569	-0.583	-1.008	-0.322	-0.322	0.787	-0.583	-0.583	-1.727	-0.551
GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY	-0.250	-0.250	1.013	-0.250	-0.250	-0.250	-0.250	-0.250	-0.250	-0.250	3.119
GO_PEPTIDYL_THREONINE_MODIFICATION GO_PEPTIDYL_THREONINE_MODIFICATION	0.271	3.582	-0.333	-0.333	0.271	-0.333	-0.333	0.271	-0.333	-0.333	-0.322
GO_ATPASE_ACTIVATOR_ACTIVITY GO_ATPASE_ACTIVATOR_ACTIVITY	3.512	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	0.420	-0.208	-0.208	-0.201
