GO	[-3.96 -0.70]	[-0.70 -0.46]	[-0.46 -0.30]	[-0.30 -0.16]	[-0.16 -0.03]	[-0.03 0.06]	[0.06 0.16]	[0.16 0.27]	[0.27 0.42]	[0.42 0.64]	[0.64 1.95]
GSE13547_CTRL_VS_ANTI_IGM_STIM_ZFX_KO_BCELL_2H_UP GSE13547_CTRL_VS_ANTI_IGM_STIM_ZFX_KO_BCELL_2H_UP	3.190	-0.243	2.112	0.599	-1.982	-0.741	-1.982	-0.437	-0.741	0.891	-1.176
GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_DN GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_DN	-1.367	-0.932	-0.619	-0.932	-0.932	0.799	-1.367	1.408	4.219	1.777	-1.319
GSE2585_CTEC_VS_THYMIC_MACROPHAGE_DN GSE2585_CTEC_VS_THYMIC_MACROPHAGE_DN	-0.496	3.717	-1.046	-1.046	-1.046	-1.046	1.156	0.396	0.396	-1.046	0.752
GSE27786_CD4_TCELL_VS_NEUTROPHIL_UP GSE27786_CD4_TCELL_VS_NEUTROPHIL_UP	1.986	0.322	-0.586	-1.173	1.445	-0.586	-1.173	-1.173	-0.586	-0.586	2.666
GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN	2.602	2.602	-0.795	0.835	0.261	0.411	-2.281	-1.150	0.261	-1.150	-1.102
GSE18804_SPLEEN_MACROPHAGE_VS_BRAIN_TUMORAL_MACROPHAGE_UP GSE18804_SPLEEN_MACROPHAGE_VS_BRAIN_TUMORAL_MACROPHAGE_UP	1.291	1.291	0.197	1.852	-0.961	-0.961	0.823	-0.961	-0.961	-0.437	-0.939
GSE42021_TREG_PLN_VS_CD24INT_TREG_THYMUS_DN GSE42021_TREG_PLN_VS_CD24INT_TREG_THYMUS_DN	3.721	0.565	-0.835	-0.835	-0.835	-0.353	-0.835	-0.353	-0.353	-0.353	1.569
GSE411_UNSTIM_VS_100MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_DN GSE411_UNSTIM_VS_100MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_DN	-0.437	1.852	-0.961	-0.961	0.823	-0.437	1.852	-0.961	-0.437	-0.961	0.848
GSE41978_KLRG1_HIGH_VS_LOW_EFFECTOR_CD8_TCELL_DN GSE41978_KLRG1_HIGH_VS_LOW_EFFECTOR_CD8_TCELL_DN	-2.035	0.252	-0.357	0.561	1.975	0.561	0.252	0.388	1.017	-0.357	-3.679
GSE22935_UNSTIM_VS_12H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP GSE22935_UNSTIM_VS_12H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP	4.618	0.523	-0.500	-0.500	0.165	0.523	-0.500	-0.500	-0.500	-0.500	-0.488
GSE4590_SMALL_VS_LARGE_PRE_BCELL_UP GSE4590_SMALL_VS_LARGE_PRE_BCELL_UP	-0.353	-0.353	-0.835	2.169	-0.353	1.531	-0.835	-0.835	-0.353	-0.835	1.569
GSE25677_R848_VS_MPL_AND_R848_STIM_BCELL_DN GSE25677_R848_VS_MPL_AND_R848_STIM_BCELL_DN	2.502	-0.961	-0.961	0.456	0.823	-0.961	-0.961	-0.437	-0.437	1.291	0.206
GSE9601_UNTREATED_VS_PI3K_INHIBITOR_TREATED_HCMV_INF_MONOCYTE_UP GSE9601_UNTREATED_VS_PI3K_INHIBITOR_TREATED_HCMV_INF_MONOCYTE_UP	-0.741	-0.741	-0.243	2.626	-1.213	0.367	-0.741	-0.437	3.190	-0.243	-1.176
GSE42021_CD24LO_TREG_VS_CD24LO_TCONV_THYMUS_DN GSE42021_CD24LO_TREG_VS_CD24LO_TCONV_THYMUS_DN	2.341	-0.681	1.487	-0.249	0.565	0.360	-1.606	-0.422	0.565	-0.681	-2.399
GSE17721_PAM3CSK4_VS_GADIQUIMOD_1H_BMDC_DN GSE17721_PAM3CSK4_VS_GADIQUIMOD_1H_BMDC_DN	0.555	-1.640	0.555	0.555	2.184	0.317	-0.285	-0.285	0.555	-1.640	-1.602
GSE43955_1H_VS_20H_ACT_CD4_TCELL_DN GSE43955_1H_VS_20H_ACT_CD4_TCELL_DN	-0.877	0.234	-0.877	-0.877	0.526	0.526	-0.877	-0.381	-0.381	0.526	3.616
GSE22611_NOD2_VS_CTRL_TRANSDUCED_HEK293T_CELL_UP GSE22611_NOD2_VS_CTRL_TRANSDUCED_HEK293T_CELL_UP	-1.384	2.124	0.756	0.451	-0.389	-0.389	-0.389	0.756	-1.384	-1.384	0.785
GSE29949_CD8_NEG_DC_SPLEEN_VS_MONOCYTE_BONE_MARROW_UP GSE29949_CD8_NEG_DC_SPLEEN_VS_MONOCYTE_BONE_MARROW_UP	-0.437	1.852	0.197	-0.961	0.197	0.197	-0.961	-0.961	-0.961	1.852	0.848
GSE7509_DC_VS_MONOCYTE_UP GSE7509_DC_VS_MONOCYTE_UP	0.501	-1.725	2.034	0.282	-0.321	0.501	-0.582	-1.006	-1.725	1.141	0.524
GSE37416_12H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_DN GSE37416_12H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_DN	-1.469	0.401	-0.220	1.963	-1.469	-1.469	-0.220	0.682	0.682	-0.435	0.709
GSE37301_RAG2_KO_VS_RAG2_AND_ETS1_KO_NK_CELL_DN GSE37301_RAG2_KO_VS_RAG2_AND_ETS1_KO_NK_CELL_DN	-1.004	1.760	1.221	-1.004	-1.004	0.425	0.425	0.773	-1.004	-0.466	-0.195
GSE7460_FOXP3_MUT_VS_WT_ACT_TCONV_UP GSE7460_FOXP3_MUT_VS_WT_ACT_TCONV_UP	-0.300	1.133	-0.300	-0.751	-0.751	-0.751	1.724	0.655	-0.751	-0.751	1.162
GSE27092_WT_VS_HDAC7_PHOSPHO_DEFICIENT_CD8_TCELL_DN GSE27092_WT_VS_HDAC7_PHOSPHO_DEFICIENT_CD8_TCELL_DN	-0.366	-0.710	-0.710	4.233	-0.366	-1.342	0.479	-0.710	0.244	-0.366	0.826
