GO	[-13.61 -0.47]	[-0.47 -0.31]	[-0.31 -0.20]	[-0.20 -0.12]	[-0.12 -0.04]	[-0.04 0.02]	[0.02 0.09]	[0.09 0.16]	[0.16 0.26]	[0.26 0.39]	[0.39 1.45]
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	-3.807	-3.807	-2.785	-2.067	-2.067	0.374	0.748	1.931	4.168	4.168	0.393
CHICAS_RB1_TARGETS_LOW_SERUM CHICAS_RB1_TARGETS_LOW_SERUM	-1.459	-1.459	-2.281	-0.938	-0.938	-0.587	-0.587	0.256	1.297	5.712	2.179
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	3.261	4.626	-0.556	0.528	-0.556	-0.971	-0.556	0.300	-1.681	-1.681	-1.655
OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	2.913	1.170	2.409	0.378	-0.656	-0.404	-0.236	-1.568	-2.410	-0.656	-1.537
MORI_IMMATURE_B_LYMPHOCYTE_DN MORI_IMMATURE_B_LYMPHOCYTE_DN	5.203	-0.458	-0.458	0.379	0.648	0.379	-0.235	-1.511	-0.839	-0.458	-1.488
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN	3.059	1.368	0.541	0.541	-0.253	-0.639	-0.957	0.773	-1.397	-1.397	-1.974
KEGG_GLYCOLYSIS_GLUCONEOGENESIS KEGG_GLYCOLYSIS_GLUCONEOGENESIS	2.049	2.049	0.640	-0.416	-0.416	-0.416	-0.416	-0.416	-0.416	-0.416	-0.409
PID_TELOMERASE_PATHWAY PID_TELOMERASE_PATHWAY	1.739	2.565	0.165	0.165	-0.499	-0.499	0.165	-0.499	-0.499	-0.499	-0.492
BRUNO_HEMATOPOIESIS BRUNO_HEMATOPOIESIS	2.463	0.272	-0.332	-0.332	-0.332	-0.332	-0.332	-0.332	-0.332	-0.332	1.549
BIOCARTA_INTEGRIN_PATHWAY BIOCARTA_INTEGRIN_PATHWAY	-0.249	-0.249	-0.249	-0.249	-0.249	-0.249	-0.249	1.920	1.920	-0.249	-0.245
