GO	[-2.44 -0.43]	[-0.43 -0.30]	[-0.30 -0.19]	[-0.19 -0.11]	[-0.11 -0.03]	[-0.03 0.03]	[0.03 0.10]	[0.10 0.17]	[0.17 0.25]	[0.25 0.35]	[0.35 1.12]
GSE14000_TRANSLATED_RNA_VS_MRNA_DC_DN GSE14000_TRANSLATED_RNA_VS_MRNA_DC_DN	-2.788	-2.069	-0.794	-0.794	0.542	-1.113	1.929	3.176	1.581	1.267	-2.000
GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP	4.233	3.496	0.244	-0.710	0.244	-0.710	-0.710	-1.342	-0.710	-0.710	-1.311
GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP	0.572	0.855	5.036	-0.457	-2.025	-0.768	-0.457	-0.768	-2.025	-0.457	0.892
GSE20715_0H_VS_48H_OZONE_LUNG_DN GSE20715_0H_VS_48H_OZONE_LUNG_DN	0.787	1.917	1.917	0.787	0.787	-0.500	-1.318	-0.824	-0.824	-2.111	-1.278
GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN	1.593	-0.242	3.567	-0.525	-0.525	0.369	-1.088	-1.088	-1.088	-0.525	0.384
GSE17721_12H_VS_24H_PAM3CSK4_BMDC_UP GSE17721_12H_VS_24H_PAM3CSK4_BMDC_UP	0.756	-1.384	0.228	2.124	1.597	-1.384	0.451	-0.742	0.228	-1.384	-0.372
GSE9960_GRAM_POS_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP GSE9960_GRAM_POS_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP	1.747	0.904	1.292	-1.597	-0.906	0.904	-1.597	-0.507	-0.906	-0.507	0.610
GSE33292_DN3_THYMOCYTE_VS_TCELL_LYMPHOMA_FROM_TCF1_KO_UP GSE33292_DN3_THYMOCYTE_VS_TCELL_LYMPHOMA_FROM_TCF1_KO_UP	-0.411	0.718	3.258	0.425	0.213	-0.774	1.087	-0.411	-0.774	-1.427	-1.394
GSE39820_CTRL_VS_TGFBETA3_IL6_CD4_TCELL_UP GSE39820_CTRL_VS_TGFBETA3_IL6_CD4_TCELL_UP	0.262	3.624	0.839	0.508	-0.679	-1.300	-1.300	-0.679	-0.344	0.508	-0.657
GSE40666_WT_VS_STAT4_KO_CD8_TCELL_DN GSE40666_WT_VS_STAT4_KO_CD8_TCELL_DN	-0.300	-0.751	4.111	-0.300	-0.751	-0.300	-0.751	1.133	-0.300	-0.751	0.313
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	-0.835	-0.353	2.900	-0.835	-0.835	0.565	0.254	-0.835	-0.353	-0.353	1.569
GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UP GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UP	2.569	0.501	-1.006	-1.006	0.501	0.282	0.788	-0.582	-1.006	0.788	-1.685
GSE360_CTRL_VS_B_MALAYI_HIGH_DOSE_DC_DN GSE360_CTRL_VS_B_MALAYI_HIGH_DOSE_DC_DN	-0.437	1.852	0.456	-0.961	0.823	0.823	0.823	-0.961	-0.961	-0.961	-0.423
GSE22443_IL2_VS_IL12_TREATED_ACT_CD8_TCELL_DN GSE22443_IL2_VS_IL12_TREATED_ACT_CD8_TCELL_DN	-0.687	0.407	0.656	-0.397	0.407	0.656	-1.896	2.253	0.407	-0.397	-1.852
GSE22886_NEUTROPHIL_VS_MONOCYTE_DN GSE22886_NEUTROPHIL_VS_MONOCYTE_DN	2.672	0.524	-0.249	1.234	-2.104	-0.816	0.360	-0.384	0.360	-2.104	0.252
GSE360_T_GONDII_VS_M_TUBERCULOSIS_DC_DN GSE360_T_GONDII_VS_M_TUBERCULOSIS_DC_DN	0.994	1.531	-0.353	-0.835	-0.835	1.531	-0.353	-0.835	-0.835	0.565	-0.341
GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_UP GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_UP	-0.458	-0.458	-0.458	-0.458	0.186	-0.458	-0.458	-0.458	0.577	1.150	2.809
GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_UP GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_UP	-0.249	-0.667	0.361	-0.249	-0.667	-0.667	-0.249	0.762	-0.667	3.595	-0.240
GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY40_UP GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY40_UP	-0.625	-0.625	-0.625	-0.224	-0.224	3.811	-0.224	-0.224	-0.625	0.824	-0.216
